m11,100.8368888888889,5.09
m12,101.67377777777779,5.09
m13,102.51066666666667,5.09
m14,103.34755555555556,5.09
m15,104.18444444444444,5.09
m16,105.02133333333333,5.09
m17,105.85822222222222,5.09
m18,106.6951111111111,5.09
m21,100.8368888888889,16.85
m22,101.67377777777779,16.85
m23,102.51066666666667,16.85
m24,103.34755555555556,16.85
m25,104.18444444444444,16.85
m26,105.02133333333333,16.85
m27,105.85822222222222,16.85
m28,106.6951111111111,16.85
m31,100.8368888888889,28.61
m32,101.67377777777779,28.61
m33,102.51066666666667,28.61
m34,103.34755555555556,28.61
m35,104.18444444444444,28.61
m36,105.02133333333333,28.61
m37,105.85822222222222,28.61
m38,106.6951111111111,28.61
m41,100.8368888888889,40.37
m42,101.67377777777779,40.37
m43,102.51066666666667,40.37
m44,103.34755555555556,40.37
m45,104.18444444444444,40.37
m46,105.02133333333333,40.37
m47,105.85822222222222,40.37
m48,106.6951111111111,40.37
